SYMBOL,AVG_DELIV_QTY,NEW_DELIV_QTY,PCT_DEVIATION
CHEVIOT,2721.9,684,-74.87
CHOICEIN,143788.1,231617,61.08
CHOLAFIN,1516021.9,663830,-56.21
CIGNITITEC,27067.3,11157,-58.78
CINELINE,11900.2,26904,126.08
CLEAN,24633.5,45138,83.24
COLPAL,270744.3,456148,68.48
COMMOIETF,38466.7,165582,330.46
COMSYN,75666.5,31692,-58.12
CONFIPET,733643.5,180868,-75.35
CONS,4228.1,622,-85.29
CONSUMBEES,58033.0,865168,1390.82
CONSUMER,116248.8,42478,-63.46
CONTROLPR,21445.1,134399,526.71
COROMANDEL,335456.5,511553,52.49
CPCAP,6026.3,2162,-64.12
CRAFTSMAN,43028.1,2731,-93.65
CREATIVE,16463.6,2840,-82.75
CREST,13703.1,1378,-89.94
CRISIL,36701.6,15647,-57.37
CRIZAC,11218933.67,2366118,-78.91
CROMPTON,875819.9,1658231,89.33
CROWN,10547.4,24874,135.83
CSLFINANCE,9661.7,4255,-55.96
CUPID,1173898.8,3299671,181.09
CYBERMEDIA,7463.8,15032,101.4
CYIENT,186090.7,81201,-56.36
DABUR,1765281.8,672180,-61.92
DAMODARIND,10170.0,4539,-55.37
DATAMATICS,114836.4,252387,119.78
DATAPATTNS,98997.5,48264,-51.25
DBCORP,66847.4,30178,-54.86
DBEIL,50047.9,17496,-65.04
DBSTOCKBRO,33577.8,11523,-65.68
DCMNVL,6875.2,3370,-50.98
DCMSHRIRAM,129229.3,20981,-83.76
DCXINDIA,465737.6,206798,-55.6
DDEVPLSTIK,67446.2,722365,971.02
DEEDEV,78746.4,36527,-53.61
DEEPAKFERT,209596.3,79921,-61.87
DEEPAKNTR,82244.0,27744,-66.27
DEEPINDS,58679.1,167114,184.79
DENORA,4875.0,9210,88.92
DENTA,58570.5,146778,150.6
DEVIT,45362.3,10082,-77.77
DHAMPURSUG,78092.2,27752,-64.46
DIAMINESQ,5293.1,10553,99.37
DIAMONDYD,32554.4,12638,-61.18
DICIND,1463.8,535,-63.45
DIFFNKG,118481.4,192645,62.6
DIGIDRIVE,17776.5,7785,-56.21
DIVISLAB,181652.0,463413,155.11
DIXON,205206.4,82054,-60.01
DLF,1071692.7,2104837,96.4
DMART,308690.1,745484,141.5
DMCC,18626.7,67908,264.57
DODLA,43631.8,14179,-67.5
DOLATALGO,155435.8,49479,-68.17
DOLLAR,74278.4,26488,-64.34
DOMS,29736.1,46992,58.03
DPWIRES,7501.3,3653,-51.3
DSSL,12339.3,26488,114.66
DTIL,6954.6,3001,-56.85
DYNAMATECH,2787.6,10462,275.3
DYNPRO,67489.3,27294,-59.56
EBANKNIFTY,975.4,391,-59.91
EBBETF0430,23935.8,70887,196.15
EICHERMOT,182432.1,378647,107.56
EIEL,1606542.0,3692032,129.81
EIHOTEL,254885.1,73402,-71.2
EIMCOELECO,14810.7,4817,-67.48
EKC,176591.3,70861,-59.87
ELDEHSG,1552.2,519,-66.56
ELECTHERM,8582.3,4078,-52.48
ELGIEQUIP,418417.0,96762,-76.87
EMAMIPAP,49717.9,18075,-63.64
EMCURE,577601.7,248827,-56.92
EMUDHRA,34939.5,74238,112.48
ENDURANCE,93568.3,27027,-71.12
ENIL,17183.2,6800,-60.43
ENTERO,41946.1,17549,-58.16
EPIGRAL,15743.3,103188,555.44
EQUAL50,601.22,41,-93.18
EQUAL50ADD,2695.6,8593,218.78
EQUITASBNK,3389985.4,5159823,52.21
ERIS,69041.6,126349,83.0
ESABINDIA,1424.9,2322,62.96
ESAFSFB,432021.8,146176,-66.16
ESG,60669.9,17586,-71.01
ESILVER,123440.2,9914,-91.97
ETERNAL,9843484.2,25693293,161.02
EUROTEXIND,1995.5,3703,85.57
EVEREADY,166299.4,374740,125.34
EVIETF,68040.0,31648,-53.49
EXCEL,4599184.4,2281786,-50.39
EXICOM,221299.7,78438,-64.56
EXIDEIND,861094.2,373628,-56.61
EXPLEOSOL,12503.0,3885,-68.93
FAIRCHEMOR,6545.8,2748,-58.02
FAZE3Q,35841.5,99849,178.58
FCSSOFT,2333034.8,1102985,-52.72
FDC,66051.2,121894,84.54
FEDFINA,317917.5,702738,121.04
FIBERWEB,32031.1,64633,101.78
FILATEX,1207435.3,296246,-75.46
FINCABLES,93443.0,45156,-51.68
FINEORG,11617.2,19693,69.52
FINIETF,807204.8,245052,-69.64
FINPIPE,274600.2,123689,-54.96
FLAIR,180037.3,356161,97.83
FMGOETZE,96805.9,37680,-61.08
FORCEMOT,47828.3,15420,-67.76
FOSECOIND,1592.7,448,-71.87
FUSION,266472.1,117964,-55.73
GALAPREC,11724.2,19247,64.16
GANESHBE,90141.2,43094,-52.19
GANGAFORGE,429077.6,205205,-52.18
GANGESSECU,2438.5,700,-71.29
GARUDA,512878.5,950209,85.27
GEECEE,3080.5,1276,-58.58
GENUSPAPER,311580.3,57954,-81.4
GENUSPOWER,355080.5,1052076,196.29
GEPIL,159697.0,426549,167.1
GESHIP,276026.6,80703,-70.76
GICHSGFIN,83105.6,171641,106.53
GICRE,307099.8,843089,174.53
GIPCL,397312.8,174815,-56.0
GKWLIMITED,3932.1,211,-94.63
GLOBALVECT,18320.6,8329,-54.54
GLOBE,1016377.6,506960,-50.12
GLOSTERLTD,7544.5,1210,-83.96
GMRP&UI,1208558.5,362812,-69.98
GNFC,217217.4,76712,-64.68
GOACARBON,5437.1,12229,124.92
GODFRYPHLP,48269.9,110861,129.67
GODIGIT,510862.8,2703544,429.21
GODREJPROP,322059.6,583188,81.08
GOKEX,136466.5,51811,-62.03
GOLD1,732989.5,292055,-60.16
GOLD360,8116.0,2787,-65.66
GOLDTECH,60705.4,14874,-75.5
GOPAL,84661.3,38200,-54.88
GRANULES,177470.0,289505,63.13
GRAPHITE,214863.1,1075367,400.49
GRASIM,339564.3,2479593,630.23
GREENPLY,46707.9,82949,77.59
GRINDWELL,63353.4,18531,-70.75
GROWWGOLD,80000.0,161291,101.61
GROWWNET,2318908.0,250270,-89.21
GROWWRAIL,189984.3,304299,60.17
GROWWSLVR,74259.0,379116,410.53
GSEC10ABSL,357.0,4156,1064.15
GSEC10IETF,5098.3,616,-87.92
GSEC10YEAR,6422.3,2004,-68.8
GSEC5IETF,6301.4,18301,190.43
GSLSU,51706.8,114977,122.36
GSPL,452485.1,146874,-67.54
GUFICBIO,26584.5,12020,-54.79
GUJALKALI,31998.0,12678,-60.38
GUJAPOLLO,10434.1,82808,693.63
GUJGASLTD,286430.7,67870,-76.3
