SYMBOL,AVG_TTL_TRD_QNTY,NEW_TTL_TRD_QNTY,PCT_DEVIATION
INDIAMART,146876.0,931241,534.03
INDIANHUME,121124.5,30566,-74.76
INDIASHLTR,964070.8,113642,-88.21
INDOAMIN,284293.6,99919,-64.85
INDOCO,83410.0,136521,63.67
INDOSTAR,186041.7,797714,328.78
INDOUS,5770.8,2798,-51.51
INDRAMEDCO,728659.1,242026,-66.78
INDTERRAIN,55305.8,25614,-53.69
INFRAIETF,598753.3,8294407,1285.28
INFY,5798601.7,9173426,58.2
INNOVACAP,48632.7,117853,142.33
INSECTICID,53479.8,95438,78.46
INTLCONV,214452.0,908778,323.77
INVENTURE,1654769.4,630643,-61.89
IONEXCHANG,111238.0,209270,88.13
IPL,529178.0,179194,-66.14
IRMENERGY,218134.9,35874,-83.55
IT,279513.0,2488695,790.37
ITBEES,6834241.6,11984085,75.35
ITDC,44932.9,17145,-61.84
ITDCEM,642379.5,314513,-51.04
ITETF,214997.9,461252,114.54
ITETFADD,14637.4,43220,195.27
ITIETF,381599.0,3131349,720.59
IVZINGOLD,304.6,2336,666.91
IVZINNIFTY,31.6,86,172.15
IXIGO,627309.2,2202380,251.08
JAGSNPHARM,150211.5,501611,233.94
JAIBALAJI,2001397.6,691603,-65.44
JAYNECOIND,1544835.2,5943875,284.76
JBMA,564634.3,200400,-64.51
JCHAC,50374.9,12952,-74.29
JETFREIGHT,66832.0,112376,68.15
JGCHEM,2231082.5,367201,-83.54
JHS,62881.3,110204,75.26
JINDALSAW,1557283.0,753086,-51.64
JINDALSTEL,1176985.4,1815311,54.23
JITFINFRA,58458.2,22879,-60.86
JKLAKSHMI,671356.7,149657,-77.71
JKPAPER,1252783.8,255896,-79.57
JKTYRE,734298.0,346955,-52.75
JLHL,34376.2,7095,-79.36
JMA,38336.7,11738,-69.38
JPPOWER,335162241.0,1033357031,208.32
JSL,664104.8,1020435,53.66
JSWINFRA,1830505.8,3064356,67.4
JTLIND,4575422.7,1810766,-60.42
JUSTDIAL,201222.3,315171,56.63
JYOTHYLAB,916249.4,246916,-73.05
JYOTICNC,2155207.4,418616,-80.58
KAKATCEM,2953.5,5201,76.1
KALAMANDIR,3016856.8,319096,-89.42
KALPATARU,2063898.44,475624,-76.96
KALYANIFRG,2336.5,662,-71.67
KALYANKJIL,4883253.9,1929247,-60.49
KAMATHOTEL,58606.3,20189,-65.55
KAMDHENU,5141239.6,776260,-84.9
KANORICHEM,20441.7,5271,-74.21
KAPSTON,11075.7,4024,-63.67
KARURVYSYA,3983521.9,1730657,-56.55
KAYNES,545152.3,231069,-57.61
KECL,218610.0,415713,90.16
KEI,300269.5,541391,80.3
KELLTONTEC,1018987.0,404514,-60.3
KHANDSE,57602.0,4552,-92.1
KICL,3056.7,1105,-63.85
KINGFA,16721.6,3364,-79.88
KIRLOSBROS,504176.0,183537,-63.6
KIRLOSENG,1189017.0,584728,-50.82
KIRLOSIND,17449.0,5412,-68.98
KKCL,149574.2,54975,-63.25
KOHINOOR,96978.9,162475,67.54
KOTHARIPET,51879.2,21416,-58.72
KPIL,307302.8,84973,-72.35
KPITTECH,948143.6,463763,-51.09
KPRMILL,815462.4,153486,-81.18
KRISHANA,211458.5,349983,65.51
KRN,1542931.9,401101,-74.0
KRONOX,525118.2,216974,-58.68
KROSS,141526.9,225193,59.12
KSB,158302.2,584308,269.11
KSL,136414.5,43242,-68.3
KTKBANK,3204899.9,859048,-73.2
KUANTUM,124675.2,50985,-59.11
LAGNAM,17259.2,68141,294.81
LALPATHLAB,192235.5,63369,-67.04
LANDMARK,37276.7,161855,334.2
LATENTVIEW,812645.4,246540,-69.66
LAURUSLABS,2916399.4,5083453,74.31
LAXMICOT,137026.1,14993,-89.06
LAXMIDENTL,89254.6,915298,925.49
LEMONTREE,5817762.5,2526060,-56.58
LFIC,14872.4,3943,-73.49
LICNETFN50,4236.1,8212,93.86
LIQUID,257538.0,54849,-78.7
LIQUIDETF,226917.9,481194,112.06
LIQUIDIETF,791880.0,1314648,66.02
LIQUIDPLUS,96544.6,11764,-87.81
LIQUIDSBI,5903.8,1954,-66.9
LIQUIDSHRI,23489.6,6482,-72.4
LLOYDSENGG,20474644.9,6284822,-69.3
LOKESHMACH,284114.8,45808,-83.88
LOTUSEYE,51200.8,18486,-63.9
LOVABLE,34267.6,7897,-76.95
LOWVOL,4561.0,148,-96.76
LOWVOL1,160221.8,11304,-92.94
LOWVOLIETF,2943978.8,880934,-70.08
LPDC,50631.8,20265,-59.98
LTFOODS,1546239.0,544539,-64.78
LUMAXIND,18305.6,6125,-66.54
LUPIN,1250360.2,624180,-50.08
M&M,1647601.4,2958843,79.58
MADRASFERT,127704.9,56451,-55.8
MAFANG,672605.4,316937,-52.88
MAGADSUGAR,15135.8,6637,-56.15
MAGNUM,73983.5,275836,272.83
MAHKTECH,704745.6,2105972,198.83
MAHSCOOTER,10340.6,4873,-52.88
MAHSEAMLES,303869.5,149564,-50.78
MAITHANALL,62059.6,28606,-53.91
